date,series,val_geom_mt,val_vlm_mt,reconciled_mt,delta_pct,confidence,reconciled_by_debate,audit_status
2023-03-01,Chattogram,63861.4,99939.2,63861.4,44.05,86.0,False,REVIEW_REQUIRED
2023-04-01,Chattogram,67574.3,68511.9,67855.6,1.38,96.6,True,PASS
2023-05-01,Chattogram,115841.6,550000.0,115841.6,130.41,86.0,False,REVIEW_REQUIRED
2023-06-01,Chattogram,399505.0,85220.5,399505.0,129.68,86.0,False,REVIEW_REQUIRED
2023-07-01,Chattogram,262871.3,117994.5,262871.3,76.08,86.0,False,REVIEW_REQUIRED
2023-08-01,Chattogram,83168.3,129627.5,83168.3,43.67,86.0,False,REVIEW_REQUIRED
2023-09-01,Chattogram,92079.2,109424.1,96415.4,17.22,83.4,True,PASS
2023-10-01,Chattogram,144059.4,75959.3,144059.4,61.9,86.0,False,REVIEW_REQUIRED
2023-11-01,Chattogram,83168.3,60000.3,83168.3,32.36,86.0,False,REVIEW_REQUIRED
2023-12-01,Chattogram,98019.8,76219.9,98019.8,25.02,86.0,False,REVIEW_REQUIRED
2024-01-01,Chattogram,22277.2,124451.5,22277.2,139.27,86.0,False,REVIEW_REQUIRED
2024-02-01,Chattogram,41584.2,126825.4,41584.2,101.23,86.0,False,REVIEW_REQUIRED
2024-03-01,Chattogram,93564.4,99939.2,95476.8,6.59,91.4,True,PASS
2024-04-01,Chattogram,46039.6,68511.9,46039.6,39.24,86.0,False,REVIEW_REQUIRED
2024-05-01,Chattogram,111386.1,138000.0,111386.1,21.34,86.0,False,REVIEW_REQUIRED
2024-06-01,Chattogram,131435.6,85220.5,131435.6,42.66,86.0,False,REVIEW_REQUIRED
2024-07-01,Chattogram,86138.6,117994.5,86138.6,31.21,86.0,False,REVIEW_REQUIRED
2024-08-01,Chattogram,34158.4,129627.5,34158.4,116.58,86.0,False,REVIEW_REQUIRED
2024-09-01,Chattogram,65346.5,109424.1,65346.5,50.44,86.0,False,REVIEW_REQUIRED
2024-10-01,Chattogram,90594.1,75959.3,86935.4,17.57,83.2,True,PASS
2024-11-01,Chattogram,46039.6,60000.3,46039.6,26.33,86.0,False,REVIEW_REQUIRED
2024-12-01,Chattogram,60148.5,76219.9,60148.5,23.57,86.0,False,REVIEW_REQUIRED
2025-01-01,Chattogram,78712.9,124451.5,78712.9,45.03,86.0,False,REVIEW_REQUIRED
2025-02-01,Chattogram,103960.4,126825.4,109676.6,19.81,82.1,True,PASS
2025-03-01,Chattogram,86881.2,99939.2,90145.7,13.98,85.0,True,PASS
2025-04-01,Chattogram,26732.7,68511.9,26732.7,87.73,86.0,False,REVIEW_REQUIRED
2025-05-01,Chattogram,59405.9,61437.7,60015.5,3.36,94.6,True,PASS
2025-06-01,Chattogram,66831.7,85220.5,66831.7,24.19,86.0,False,REVIEW_REQUIRED
2025-07-01,Chattogram,99505.0,117994.5,104127.3,17.0,83.5,True,PASS
2025-08-01,Chattogram,47524.8,129627.5,47524.8,92.69,86.0,False,REVIEW_REQUIRED
2025-09-01,Chattogram,35643.6,109424.1,35643.6,101.72,86.0,False,REVIEW_REQUIRED
2025-10-01,Chattogram,23762.4,75959.3,23762.4,104.69,86.0,False,REVIEW_REQUIRED
2025-11-01,Chattogram,75742.6,60000.3,75742.6,23.19,86.0,False,REVIEW_REQUIRED
2025-12-01,Chattogram,40841.6,76219.9,40841.6,60.44,86.0,False,REVIEW_REQUIRED
2026-01-01,Chattogram,44554.5,124451.5,44554.5,94.55,86.0,False,REVIEW_REQUIRED
2026-02-01,Chattogram,100990.1,126825.4,100990.1,22.68,86.0,False,REVIEW_REQUIRED
2026-03-01,Chattogram,68316.8,99939.2,68316.8,37.59,86.0,False,REVIEW_REQUIRED
2026-04-01,Chattogram,95049.5,68511.9,95049.5,32.45,86.0,False,REVIEW_REQUIRED
2026-05-01,Chattogram,115841.6,61437.7,115841.6,61.38,86.0,False,REVIEW_REQUIRED
2026-06-01,Chattogram,114356.4,85220.5,114356.4,29.2,86.0,False,REVIEW_REQUIRED
2026-07-01,Chattogram,118811.9,117994.5,118566.7,0.69,97.3,True,PASS
2026-08-01,Chattogram,118811.9,124500.0,120518.3,4.68,93.3,True,PASS
2022-08-01,Gadani,0.0,8500.0,0.0,200.0,86.0,False,REVIEW_REQUIRED
2022-09-01,Gadani,0.0,2500.0,0.0,200.0,86.0,False,REVIEW_REQUIRED
2022-10-01,Gadani,0.0,5500.0,0.0,200.0,86.0,False,REVIEW_REQUIRED
2022-11-01,Gadani,5940.6,8500.0,5940.6,35.45,86.0,False,REVIEW_REQUIRED
2022-12-01,Gadani,19306.9,2500.0,19306.9,154.14,86.0,False,REVIEW_REQUIRED
2023-01-01,Gadani,7425.7,5500.0,7425.7,29.8,86.0,False,REVIEW_REQUIRED
2023-02-01,Gadani,37128.7,8500.0,37128.7,125.49,86.0,False,REVIEW_REQUIRED
2023-03-01,Gadani,41584.2,2500.0,41584.2,177.32,86.0,False,REVIEW_REQUIRED
2023-04-01,Gadani,0.0,5500.0,0.0,200.0,86.0,False,REVIEW_REQUIRED
2023-05-01,Gadani,0.0,8500.0,0.0,200.0,86.0,False,REVIEW_REQUIRED
2023-06-01,Gadani,0.0,2500.0,0.0,200.0,86.0,False,REVIEW_REQUIRED
2023-07-01,Gadani,0.0,5500.0,0.0,200.0,86.0,False,REVIEW_REQUIRED
2023-08-01,Gadani,0.0,8500.0,0.0,200.0,86.0,False,REVIEW_REQUIRED
2023-09-01,Gadani,0.0,52000.0,0.0,200.0,86.0,False,REVIEW_REQUIRED
2023-10-01,Gadani,44554.5,5500.0,44554.5,156.05,86.0,False,REVIEW_REQUIRED
2023-11-01,Gadani,29703.0,8500.0,29703.0,111.0,86.0,False,REVIEW_REQUIRED
2023-12-01,Gadani,17821.8,2500.0,17821.8,150.79,86.0,False,REVIEW_REQUIRED
2024-01-01,Gadani,1485.1,5500.0,1485.1,114.95,86.0,False,REVIEW_REQUIRED
2024-02-01,Gadani,29703.0,8500.0,29703.0,111.0,86.0,False,REVIEW_REQUIRED
2024-03-01,Gadani,34158.4,2500.0,34158.4,172.72,86.0,False,REVIEW_REQUIRED
2024-04-01,Gadani,40099.0,5500.0,40099.0,151.75,86.0,False,REVIEW_REQUIRED
2024-05-01,Gadani,23762.4,52000.0,23762.4,74.54,86.0,False,REVIEW_REQUIRED
2024-06-01,Gadani,53465.3,2500.0,53465.3,182.13,86.0,False,REVIEW_REQUIRED
2024-07-01,Gadani,14108.9,5500.0,14108.9,87.81,86.0,False,REVIEW_REQUIRED
2024-08-01,Gadani,10396.0,8500.0,10396.0,20.07,86.0,False,REVIEW_REQUIRED
2024-09-01,Gadani,0.0,2500.0,0.0,200.0,86.0,False,REVIEW_REQUIRED
2024-10-01,Gadani,0.0,5500.0,0.0,200.0,86.0,False,REVIEW_REQUIRED
2024-11-01,Gadani,0.0,8500.0,0.0,200.0,86.0,False,REVIEW_REQUIRED
2024-12-01,Gadani,0.0,2500.0,0.0,200.0,86.0,False,REVIEW_REQUIRED
2025-01-01,Gadani,0.0,5500.0,0.0,200.0,86.0,False,REVIEW_REQUIRED
2025-02-01,Gadani,0.0,8500.0,0.0,200.0,86.0,False,REVIEW_REQUIRED
2025-03-01,Gadani,0.0,2500.0,0.0,200.0,86.0,False,REVIEW_REQUIRED
2025-04-01,Gadani,7425.7,5500.0,7425.7,29.8,86.0,False,REVIEW_REQUIRED
2025-05-01,Gadani,1485.1,8500.0,1485.1,140.51,86.0,False,REVIEW_REQUIRED
2025-06-01,Gadani,0.0,2500.0,0.0,200.0,86.0,False,REVIEW_REQUIRED
2025-07-01,Gadani,0.0,5500.0,0.0,200.0,86.0,False,REVIEW_REQUIRED
2025-08-01,Gadani,20792.1,8500.0,20792.1,83.93,86.0,False,REVIEW_REQUIRED
2025-09-01,Gadani,3712.9,2500.0,3712.9,39.04,86.0,False,REVIEW_REQUIRED
2025-10-01,Gadani,28217.8,5500.0,28217.8,134.75,86.0,False,REVIEW_REQUIRED
2025-11-01,Gadani,1485.1,8500.0,1485.1,140.51,86.0,False,REVIEW_REQUIRED
2025-12-01,Gadani,1485.1,2500.0,1485.1,50.93,86.0,False,REVIEW_REQUIRED
2026-01-01,Gadani,1485.1,5500.0,1485.1,114.95,86.0,False,REVIEW_REQUIRED
2026-02-01,Gadani,25247.5,8500.0,25247.5,99.25,86.0,False,REVIEW_REQUIRED
2026-03-01,Gadani,8910.9,2500.0,8910.9,112.36,86.0,False,REVIEW_REQUIRED
2026-04-01,Gadani,0.0,5500.0,0.0,200.0,86.0,False,REVIEW_REQUIRED
2026-05-01,Gadani,4455.4,8500.0,4455.4,62.44,86.0,False,REVIEW_REQUIRED
2026-06-01,Gadani,11881.2,2500.0,11881.2,130.46,86.0,False,REVIEW_REQUIRED
2026-07-01,Gadani,11881.2,5500.0,11881.2,73.43,86.0,False,REVIEW_REQUIRED
2026-08-01,Gadani,11881.2,12000.0,11916.8,1.0,97.0,True,PASS
