vessel_name,imo_number,trajectory_sequence_json,current_port,current_status
ATHANASIA C,IMO9489875,"[{""port"": ""SGSIN"", ""name"": ""Singapore"", ""date"": ""2025-01-28"", ""lat"": 1.28, ""lon"": 103.85}]",Singapore,Waiting at anchor
ATLANTIC,IMO9870672,"[{""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2022-03-23"", ""lat"": 29.87, ""lon"": -93.93}]",Port Arthur / Nederland,Underway
AVICL ATERMIS,IMO9626742,"[{""port"": ""BRSSZ"", ""name"": ""Santos"", ""date"": ""2025-02-03"", ""lat"": -23.96, ""lon"": -46.33}]",Santos,Operating at berth
AVON TRADER,IMO9819087,"[{""port"": ""NLRTM"", ""name"": ""Rotterdam"", ""date"": ""2025-02-06"", ""lat"": 51.92, ""lon"": 4.47}]",Rotterdam,Waiting at anchor
Achilleas,IMO9458494,"[{""port"": ""AEFJR"", ""name"": ""Fujairah"", ""date"": ""2018-11-12"", ""lat"": 25.13, ""lon"": 56.34}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2018-12-13"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SARRT"", ""name"": ""Ras Tanura"", ""date"": ""2019-08-05"", ""lat"": 26.65, ""lon"": 50.16}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2019-08-21"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2019-12-20"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2020-11-13"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2021-03-10"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""SGSIN"", ""name"": ""Singapore"", ""date"": ""2021-03-27"", ""lat"": 1.28, ""lon"": 103.85}, {""port"": ""INSIK"", ""name"": ""Sikka / Jamnagar"", ""date"": ""2021-04-13"", ""lat"": 22.43, ""lon"": 69.84}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2021-06-04"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2021-07-27"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SGSIN"", ""name"": ""Singapore"", ""date"": ""2021-08-13"", ""lat"": 1.28, ""lon"": 103.85}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2021-09-16"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2021-10-05"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2021-11-10"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2022-09-22"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2023-03-21"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""DZAZW"", ""name"": ""Arzew"", ""date"": ""2023-04-25"", ""lat"": 35.85, ""lon"": -0.31}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2023-05-17"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SARRT"", ""name"": ""Ras Tanura"", ""date"": ""2023-06-22"", ""lat"": 26.65, ""lon"": 50.16}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2023-08-30"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2023-10-10"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2023-12-11"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""DZAZW"", ""name"": ""Arzew"", ""date"": ""2024-02-15"", ""lat"": 35.85, ""lon"": -0.31}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2024-04-02"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2024-04-08"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2024-05-23"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2024-06-09"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2024-08-16"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""NLRTM"", ""name"": ""Rotterdam"", ""date"": ""2024-09-02"", ""lat"": 51.92, ""lon"": 4.47}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2025-01-07"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2025-02-24"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2025-10-08"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2025-11-25"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2026-01-27"", ""lat"": 26.83, ""lon"": 50.02}]",Juaymah,Operating at berth
Achilleas*,IMO9398072,"[{""port"": ""SGSIN"", ""name"": ""Singapore"", ""date"": ""2025-08-04"", ""lat"": 1.28, ""lon"": 103.85}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2025-08-06"", ""lat"": 26.83, ""lon"": 50.02}]",Juaymah,Operating at berth
Adam Lng,IMO9501186,"[{""port"": ""SGSIN"", ""name"": ""Singapore"", ""date"": ""2014-07-31"", ""lat"": 1.28, ""lon"": 103.85}, {""port"": ""SGSIN"", ""name"": ""Singapore"", ""date"": ""2014-08-17"", ""lat"": 1.28, ""lon"": 103.85}, {""port"": ""QARLF"", ""name"": ""Ras Laffan"", ""date"": ""2016-05-05"", ""lat"": 25.92, ""lon"": 51.53}, {""port"": ""QARLF"", ""name"": ""Ras Laffan"", ""date"": ""2016-05-22"", ""lat"": 25.92, ""lon"": 51.53}, {""port"": ""AUDRW"", ""name"": ""Darwin"", ""date"": ""2016-08-29"", ""lat"": -12.46, ""lon"": 130.84}, {""port"": ""AUDRW"", ""name"": ""Darwin"", ""date"": ""2016-09-15"", ""lat"": -12.46, ""lon"": 130.84}, {""port"": ""AEFJR"", ""name"": ""Fujairah"", ""date"": ""2016-10-10"", ""lat"": 25.13, ""lon"": 56.34}, {""port"": ""AEFJR"", ""name"": ""Fujairah"", ""date"": ""2016-10-27"", ""lat"": 25.13, ""lon"": 56.34}, {""port"": ""SGSIN"", ""name"": ""Singapore"", ""date"": ""2021-02-14"", ""lat"": 1.28, ""lon"": 103.85}, {""port"": ""SGSIN"", ""name"": ""Singapore"", ""date"": ""2021-03-03"", ""lat"": 1.28, ""lon"": 103.85}]",Singapore,Underway
Adamantios,IMO9905447,"[{""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2022-11-02"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""CNNGB"", ""name"": ""Ningbo-Zhoushan"", ""date"": ""2022-11-19"", ""lat"": 29.87, ""lon"": 121.55}, {""port"": ""SARRT"", ""name"": ""Ras Tanura"", ""date"": ""2024-03-15"", ""lat"": 26.65, ""lon"": 50.16}, {""port"": ""KWMFA"", ""name"": ""Mina Al Ahmadi"", ""date"": ""2025-05-14"", ""lat"": 29.07, ""lon"": 48.15}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2025-08-22"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2025-08-26"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""SAYNB"", ""name"": ""Yanbu"", ""date"": ""2026-03-03"", ""lat"": 24.09, ""lon"": 38.06}, {""port"": ""INSIK"", ""name"": ""Sikka / Jamnagar"", ""date"": ""2026-03-20"", ""lat"": 22.43, ""lon"": 69.84}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2026-07-24"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2026-07-27"", ""lat"": 29.87, ""lon"": -93.93}]",Port Arthur / Nederland,Operating at berth
Adamastos,IMO9879698,"[{""port"": ""KRUSN"", ""name"": ""Ulsan"", ""date"": ""2021-07-02"", ""lat"": 35.5, ""lon"": 129.38}, {""port"": ""KRUSN"", ""name"": ""Ulsan"", ""date"": ""2021-07-19"", ""lat"": 35.5, ""lon"": 129.38}]",Ulsan,Underway
Admiral,IMO9302023,"[{""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2020-04-02"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""CNNGB"", ""name"": ""Ningbo-Zhoushan"", ""date"": ""2020-04-19"", ""lat"": 29.87, ""lon"": 121.55}]",Ningbo-Zhoushan,Underway
Adriano Knutsen,IMO9831220,"[{""port"": ""QARLF"", ""name"": ""Ras Laffan"", ""date"": ""2019-07-29"", ""lat"": 25.92, ""lon"": 51.53}, {""port"": ""QARLF"", ""name"": ""Ras Laffan"", ""date"": ""2019-08-15"", ""lat"": 25.92, ""lon"": 51.53}]",Ras Laffan,Underway
Ads Page,IMO9248497,"[{""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2019-11-13"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2020-01-03"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2020-02-24"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2020-06-09"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""KWMFA"", ""name"": ""Mina Al Ahmadi"", ""date"": ""2020-09-28"", ""lat"": 29.07, ""lon"": 48.15}]",Mina Al Ahmadi,Underway
Ads Serenade,IMO9248473,"[{""port"": ""NLRTM"", ""name"": ""Rotterdam"", ""date"": ""2019-05-09"", ""lat"": 51.92, ""lon"": 4.47}, {""port"": ""SGSIN"", ""name"": ""Singapore"", ""date"": ""2019-05-26"", ""lat"": 1.28, ""lon"": 103.85}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2019-11-11"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2020-01-02"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""KWMFA"", ""name"": ""Mina Al Ahmadi"", ""date"": ""2020-02-18"", ""lat"": 29.07, ""lon"": 48.15}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2020-03-25"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2020-05-11"", ""lat"": 26.83, ""lon"": 50.02}]",Juaymah,Underway
Ads Stratus,IMO9248485,"[{""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2019-06-24"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2019-08-06"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2019-11-21"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2020-01-13"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2020-05-26"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2020-07-16"", ""lat"": 26.83, ""lon"": 50.02}]",Juaymah,Underway
Advantage Sky,IMO9419888,"[{""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2018-04-05"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""SGSIN"", ""name"": ""Singapore"", ""date"": ""2018-04-22"", ""lat"": 1.28, ""lon"": 103.85}, {""port"": ""NLRTM"", ""name"": ""Rotterdam"", ""date"": ""2020-11-26"", ""lat"": 51.92, ""lon"": 4.47}, {""port"": ""SARRT"", ""name"": ""Ras Tanura"", ""date"": ""2024-01-02"", ""lat"": 26.65, ""lon"": 50.16}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2025-05-29"", ""lat"": 29.87, ""lon"": -93.93}]",Port Arthur / Nederland,Waiting at anchor
Advantage Smart,IMO1028683,"[{""port"": ""DZAZW"", ""name"": ""Arzew"", ""date"": ""2026-04-14"", ""lat"": 35.85, ""lon"": -0.31}]",Arzew,Waiting at anchor
Advantage Solar,IMO9408683,"[{""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2018-05-07"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2022-11-07"", ""lat"": 29.87, ""lon"": -93.93}]",Port Arthur / Nederland,Underway
Advantage Solo,IMO1023425,"[{""port"": ""AEFJR"", ""name"": ""Fujairah"", ""date"": ""2026-03-03"", ""lat"": 25.13, ""lon"": 56.34}, {""port"": ""AEFJR"", ""name"": ""Fujairah"", ""date"": ""2026-04-09"", ""lat"": 25.13, ""lon"": 56.34}]",Fujairah,Operating at berth
Advantage Spring,IMO9466582,"[{""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2019-02-08"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2019-06-06"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2022-03-16"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""DZAZW"", ""name"": ""Arzew"", ""date"": ""2022-06-17"", ""lat"": 35.85, ""lon"": -0.31}, {""port"": ""AEFJR"", ""name"": ""Fujairah"", ""date"": ""2022-07-04"", ""lat"": 25.13, ""lon"": 56.34}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2022-07-21"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2022-08-07"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""CNQDG"", ""name"": ""Qingdao"", ""date"": ""2022-08-24"", ""lat"": 36.08, ""lon"": 120.32}]",Qingdao,Underway
Advantage Start,IMO9466570,"[{""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2020-11-23"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""NGBON"", ""name"": ""Bonny"", ""date"": ""2021-02-16"", ""lat"": 4.45, ""lon"": 7.16}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2021-07-21"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""DZAZW"", ""name"": ""Arzew"", ""date"": ""2022-03-22"", ""lat"": 35.85, ""lon"": -0.31}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2023-12-07"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2023-12-08"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2023-12-14"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2023-12-24"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2023-12-31"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""NLRTM"", ""name"": ""Rotterdam"", ""date"": ""2024-01-17"", ""lat"": 51.92, ""lon"": 4.47}, {""port"": ""DZAZW"", ""name"": ""Arzew"", ""date"": ""2026-02-11"", ""lat"": 35.85, ""lon"": -0.31}]",Arzew,Waiting at anchor
Advantage Summer,IMO9419890,"[{""port"": ""CNNGB"", ""name"": ""Ningbo-Zhoushan"", ""date"": ""2019-04-30"", ""lat"": 29.87, ""lon"": 121.55}, {""port"": ""SARRT"", ""name"": ""Ras Tanura"", ""date"": ""2019-06-11"", ""lat"": 26.65, ""lon"": 50.16}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2019-08-30"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2019-11-26"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""SGSIN"", ""name"": ""Singapore"", ""date"": ""2019-12-13"", ""lat"": 1.28, ""lon"": 103.85}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2022-04-20"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2022-05-07"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2024-12-04"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2024-12-21"", ""lat"": 29.87, ""lon"": -93.93}]",Port Arthur / Nederland,Operating at berth
Advantage Sun,IMO9513141,"[{""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2018-01-23"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2019-09-11"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""SGSIN"", ""name"": ""Singapore"", ""date"": ""2019-09-28"", ""lat"": 1.28, ""lon"": 103.85}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2021-01-19"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2021-02-05"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2023-07-10"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2024-02-14"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2024-02-16"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2024-03-11"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2024-03-20"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2024-03-28"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""NLRTM"", ""name"": ""Rotterdam"", ""date"": ""2024-04-06"", ""lat"": 51.92, ""lon"": 4.47}, {""port"": ""DZAZW"", ""name"": ""Arzew"", ""date"": ""2025-04-15"", ""lat"": 35.85, ""lon"": -0.31}]",Arzew,Waiting at anchor
Advantage Value,IMO9376749,"[{""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2020-04-01"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2023-12-18"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2025-03-11"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2025-04-24"", ""lat"": 26.83, ""lon"": 50.02}]",Juaymah,Operating at berth
