date,year,month,volume_kt,hist_5y_min,hist_5y_max,hist_5y_mean
2022-07-01,2022,7,6000.0,3120.0,5800.0,4562.0
2022-08-01,2022,8,6900.0,2950.0,6200.0,4448.0
2022-09-01,2022,9,8400.0,3450.0,5890.0,4628.0
2022-10-01,2022,10,8000.0,4890.0,7890.0,6228.0
2022-11-01,2022,11,9900.0,5210.0,8210.0,6684.0
2022-12-01,2022,12,10000.0,6120.0,9540.0,7992.0
2023-01-01,2023,1,9800.0,4950.0,7500.0,6424.0
2023-02-01,2023,2,8800.0,5120.0,7400.0,6370.0
2023-03-01,2023,3,11000.0,5670.0,8600.0,7188.0
2023-04-01,2023,4,11600.0,5340.0,7450.0,6648.0
2023-05-01,2023,5,9500.0,5120.0,8600.0,6790.0
2023-06-01,2023,6,10100.0,4890.0,7800.0,6434.0
2023-07-01,2023,7,8500.0,3850.0,6000.0,5138.0
2023-08-01,2023,8,7900.0,3620.0,6900.0,5238.0
2023-09-01,2023,9,9400.0,4120.0,8400.0,5618.0
2023-10-01,2023,10,10600.0,5780.0,8000.0,6850.0
2023-11-01,2023,11,9300.0,5980.0,9900.0,7622.0
2023-12-01,2023,12,12000.0,6890.0,10000.0,8768.0
2024-01-01,2024,1,9600.0,5890.0,9800.0,7394.0
2024-02-01,2024,2,10100.0,6120.0,8800.0,7106.0
2024-03-01,2024,3,13600.0,6780.0,11000.0,8254.0
2024-04-01,2024,4,10900.0,6450.0,11600.0,7900.0
2024-05-01,2024,5,11400.0,6210.0,9500.0,7666.0
2024-06-01,2024,6,12200.0,5890.0,10100.0,7476.0
2024-07-01,2024,7,10000.0,4620.0,8500.0,6068.0
2024-08-01,2024,8,8800.0,4350.0,7900.0,6094.0
2024-09-01,2024,9,10200.0,4700.0,9400.0,6674.0
2024-10-01,2024,10,11400.0,5800.0,10600.0,7814.0
2024-11-01,2024,11,11800.0,6900.0,9900.0,8286.0
2024-12-01,2024,12,12300.0,8210.0,12000.0,9790.0
2025-01-01,2025,1,14800.0,6780.0,9800.0,8136.0
2025-02-01,2025,2,14500.0,6200.0,10100.0,7902.0
2025-03-01,2025,3,15800.0,7000.0,13600.0,9618.0
2025-04-01,2025,4,16200.0,6800.0,11600.0,8790.0
2025-05-01,2025,5,16000.0,6900.0,11400.0,8704.0
2025-06-01,2025,6,14900.0,6700.0,12200.0,8738.0
2025-07-01,2025,7,11800.0,5420.0,10000.0,7144.0
2025-08-01,2025,8,10300.0,5120.0,8800.0,6984.0
2025-09-01,2025,9,12800.0,4700.0,10200.0,7718.0
2025-10-01,2025,10,14500.0,5800.0,11400.0,8738.0
2025-11-01,2025,11,13400.0,6900.0,11800.0,9222.0
2025-12-01,2025,12,17000.0,9200.0,12300.0,10608.0
2026-01-01,2026,1,17300.0,7000.0,14800.0,9740.0
2026-02-01,2026,2,18700.0,6200.0,14500.0,9400.0
2026-03-01,2026,3,21600.0,7000.0,15800.0,11200.0
2026-04-01,2026,4,17800.0,6800.0,16200.0,10540.0
2026-05-01,2026,5,16400.0,6900.0,16000.0,10480.0
2026-06-01,2026,6,14900.0,6700.0,14900.0,10340.0
2026-07-01,2026,7,12800.0,5800.0,11800.0,8420.0
2026-08-01,2026,8,15300.0,6200.0,10300.0,8020.0
