date,year,month,brazil_ore_export_kt,brazil_5y_avg_kt,guinea_bauxite_export_kt,guinea_5y_avg_kt,port_hedland_ore_mt,china_port_inventory_mt,long_haul_ton_miles_bn
2022-11-01,2022,11,30240.8,30930.4,9900.0,6684.0,51.0,129.4,443.53
2022-12-01,2022,12,31890.3,35489.8,10000.0,7992.0,48.0,130.12,462.79
2023-01-01,2023,1,27010.5,27780.5,9800.0,6424.0,50.7,128.72,406.88
2023-02-01,2023,2,22410.8,23908.5,8800.0,6370.0,52.2,135.47,345.08
2023-03-01,2023,3,29120.4,24472.5,11000.0,7188.0,45.763,134.21,443.52
2023-04-01,2023,4,25610.2,24396.5,11600.0,6648.0,43.268,127.98,411.63
2023-05-01,2023,5,31740.8,28472.4,9500.0,6790.0,52.2,124.31,455.55
2023-06-01,2023,6,34390.5,30944.5,10100.0,6434.0,51.929,123.82,491.42
2023-07-01,2023,7,32410.6,33266.5,8500.0,5138.0,50.7,122.2,451.72
2023-08-01,2023,8,35980.2,34054.4,7900.0,5238.0,52.2,118.08,484.26
2023-09-01,2023,9,33210.4,34910.5,9400.0,5618.0,45.075,115.33,470.59
2023-10-01,2023,10,32410.8,32288.4,10600.0,6850.0,46.892,108.32,475.24
2023-11-01,2023,11,31210.5,30190.5,9300.0,7622.0,52.2,109.28,447.48
2023-12-01,2023,12,36436.8,34092.7,12000.0,8768.0,49.2,113.87,535.2
2024-01-01,2024,1,26908.9,27592.5,9600.0,7394.0,51.9,122.33,403.52
2024-02-01,2024,2,26392.8,23368.6,10100.0,7106.0,53.4,128.28,403.44
2024-03-01,2024,3,24391.6,24508.5,13600.0,8254.0,50.4,138.14,420.63
2024-04-01,2024,4,27122.9,23694.4,10900.0,7900.0,51.9,141.33,420.43
2024-05-01,2024,5,30635.8,27792.5,11400.0,7666.0,51.941,143.66,464.67
2024-06-01,2024,6,31271.3,31044.5,12200.0,7476.0,50.4,145.17,480.62
2024-07-01,2024,7,37057.2,32624.5,10000.0,6068.0,51.9,147.1,519.63
2024-08-01,2024,8,32001.3,33608.4,8800.0,6094.0,53.4,147.31,450.57
2024-09-01,2024,9,34410.2,34324.5,10200.0,6674.0,50.4,150.35,492.75
2024-10-01,2024,10,33710.8,31192.5,11400.0,7814.0,51.9,146.67,498.5
2024-11-01,2024,11,32510.4,29590.5,11800.0,8286.0,53.4,148.78,489.77
2024-12-01,2024,12,31840.6,33826.7,12300.0,9790.0,50.4,146.21,488.01
2025-01-01,2025,1,28829.4,26492.1,14800.0,8136.0,53.1,145.93,482.88
2025-02-01,2025,2,24174.7,22859.0,14500.0,7902.0,54.6,148.95,428.32
2025-03-01,2025,3,25839.1,24950.8,15800.0,9618.0,51.6,143.08,461.19
2025-04-01,2025,4,27992.4,25450.9,16200.0,8790.0,53.1,140.02,489.36
2025-05-01,2025,5,32371.5,28095.6,16000.0,8704.0,54.6,138.95,535.29
2025-06-01,2025,6,34222.8,31324.6,14900.0,8738.0,51.6,136.65,543.33
2025-07-01,2025,7,38659.2,33211.8,11800.0,7144.0,53.1,134.93,557.41
2025-08-01,2025,8,37681.5,33420.6,10300.0,6984.0,54.6,130.11,529.86
2025-09-01,2025,9,34810.5,33782.4,12800.0,7718.0,51.6,129.73,526.28
2025-10-01,2025,10,37010.2,31684.6,14500.0,8738.0,53.1,130.45,569.51
2025-11-01,2025,11,36610.4,30664.5,13400.0,9222.0,54.6,136.11,552.79
2025-12-01,2025,12,37410.8,32881.7,17000.0,10608.0,51.6,140.95,601.92
2026-01-01,2026,1,26379.0,26915.9,17300.0,9740.0,54.3,148.26,483.93
2026-02-01,2026,2,26187.4,23385.8,18700.0,9400.0,55.8,154.62,497.5
2026-03-01,2026,3,25768.2,25928.5,21600.0,11200.0,52.8,157.54,525.37
2026-04-01,2026,4,31609.4,26253.3,17800.0,10540.0,54.3,153.25,547.06
2026-05-01,2026,5,25568.8,30267.8,16400.0,10480.0,55.8,149.31,464.94
2026-06-01,2026,6,39667.0,32161.1,14900.0,10340.0,52.8,148.73,603.22
2026-07-01,2026,7,35002.8,34261.6,12800.0,8420.0,54.3,146.59,528.39
2026-08-01,2026,8,34406.4,34688.7,15300.0,8020.0,55.8,146.41,549.83
